,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
2015-05-02,2110.3566666666666,1369.69,1242.9779999999998,1264.546,640.33,1340.088,2856.8,5226.674
2015-05-03,2112.423333333333,1369.09,1239.222,1264.242,635.897,1339.1809999999998,2856.8,5227.362
2015-05-04,2114.49,1368.49,1235.466,1263.938,631.464,1338.274,2856.8,5228.05
2015-05-05,2089.46,1351.46,1240.056,1260.375,639.059,1341.401,2856.8,5249.261
2015-05-06,2080.15,1334.15,1190.043,1256.163,594.271,1338.678,2872.8,5296.531
2015-05-07,2088.0,1350.0,1197.531,1259.603,604.225,1341.808,2856.8,5273.374
2015-05-08,2116.1,1370.1,1224.477,1263.346,621.989,1339.081,2856.8,5234.093
2015-05-09,2112.5099999999998,1369.1766666666665,1227.414,1263.1723333333334,625.6633333333333,1340.1253333333332,2856.8,5235.6973333333335
2015-05-10,2108.92,1368.2533333333333,1230.351,1262.9986666666666,629.3376666666667,1341.1696666666667,2856.8,5237.301666666666
2015-05-11,2105.33,1367.33,1233.288,1262.825,633.012,1342.214,2856.8,5238.906
2015-05-12,2099.12,1369.12,1263.474,1263.273,661.398,1345.349,2840.8,5218.329
2015-05-13,2098.48,1376.48,1300.995,1264.906,695.735,1348.487,2840.8,5198.493
2015-05-14,2121.1,1391.1,1289.178,1267.473,681.995,1345.757,2824.8,5174.399
2015-05-15,2122.73,1384.73,1298.097,1265.584,685.095,1343.025,2840.8,5180.8
2015-05-16,2124.8866666666668,1384.22,1301.577,1265.2963333333335,687.3681666666668,1342.1133333333335,2840.8,5177.733
2015-05-17,2127.043333333333,1383.71,1305.057,1265.0086666666666,689.6413333333334,1341.2016666666666,2840.8,5174.666
2015-05-18,2129.2,1383.2,1308.537,1264.721,691.9145000000001,1340.29,2840.8,5171.599
2015-05-19,2127.83,1389.83,1315.251,1266.196,698.734,1343.43,2856.8,5178.128
2015-05-20,2125.85,1379.85,1312.164,1263.542,692.083,1340.693,2856.8,5184.217
2015-05-21,2130.82,1376.82,1294.371,1262.359,673.498,1337.952,2840.8,5180.766
2015-05-22,2126.06,1380.06,1291.266,1263.117,674.835,1341.095,2824.8,5175.632
2015-05-23,2120.595,1376.595,1299.2805,1262.4032499999998,682.30225,1341.8815,2828.8,5179.1995
2015-05-24,2115.13,1373.13,1307.295,1261.6895,689.7695,1342.6680000000001,2832.8,5182.767
2015-05-25,2109.665,1369.665,1315.3095,1260.97575,697.23675,1343.4545,2836.8,5186.3345
2015-05-26,2104.2,1366.2,1323.324,1260.262,704.704,1344.241,2840.8,5189.902
2015-05-27,2123.48,1393.48,1337.049,1266.103,719.692,1347.389,2856.8,5172.277
2015-05-28,2120.79,1398.79,1342.944,1267.3,728.326,1350.541,2856.8,5170.566
2015-05-29,2107.39,1393.39,1345.743,1266.238,734.448,1353.695,2856.8,5181.124
2015-05-30,2108.8366666666666,1397.5033333333333,1343.994,1267.1323333333335,734.3136666666667,1354.7473333333332,2851.4666666666667,5176.742666666666
2015-05-31,2110.2833333333333,1401.6166666666668,1342.2450000000001,1268.0266666666666,734.1793333333333,1355.7996666666668,2846.1333333333337,5172.361333333333
2015-06-01,2111.73,1405.73,1340.496,1268.921,734.045,1356.852,2840.8,5167.98
2015-06-02,2109.6,1395.6,1365.309,1266.239,750.015,1354.108,2824.8,5150.239
2015-06-03,2114.07,1408.07,1391.085,1268.948,774.762,1357.268,2808.8,5121.436
2015-06-04,2095.84,1397.84,1392.912,1266.876,780.089,1360.43,2808.8,5137.335
2015-06-05,2092.83,1386.83,1382.751,1264.011,767.7,1357.683,2792.8,5138.008
2015-06-06,2088.3133333333335,1379.6466666666665,1388.289,1262.317,770.8036666666667,1356.7666666666667,2792.8,5140.619
2015-06-07,2083.7966666666666,1372.4633333333334,1393.827,1260.623,773.9073333333333,1355.8503333333333,2792.8,5143.2300000000005
2015-06-08,2079.28,1365.28,1399.365,1258.929,777.011,1354.934,2792.8,5145.841
2015-06-09,2080.15,1374.15,1403.919,1260.883,784.546,1358.099,2792.8,5141.285
2015-06-10,2105.2,1391.2,1389.474,1263.917,768.689,1355.346,2792.8,5126.026
2015-06-11,2108.86,1386.86,1406.295,1262.454,778.161,1352.591,2776.8,5106.569
2015-06-12,2094.11,1364.11,1406.061,1257.124,773.816,1349.833,2776.8,5124.025
2015-06-13,2090.883333333333,1363.55,1405.617,1257.0366666666666,774.738,1350.8886666666667,2771.4666666666667,5123.669333333333
2015-06-14,2087.6566666666668,1362.99,1405.173,1256.9493333333335,775.66,1351.9443333333334,2766.1333333333337,5123.313666666666
2015-06-15,2084.43,1362.43,1404.729,1256.862,776.582,1353.0,2760.8,5122.958
